Sentence,File
There are lower new deceased toll of corona virus in Japan in February than in March.,new_deaths
The number of deceased cases of corona in Uruguay is less than the number of healed in Guatemala in April.,total_deaths-total_recovered
Togo has fewer cases of covid-19 than Belgium in March.,total_confirmed
Liechtenstein has lower death toll of corona than Morocco .,total_deaths
The number of death toll in Nigeria is less than the number of in Switzerland in March.,total_deaths-total_confirmed
Bahrain has fewer confirmed cases of corona than Canada .,total_confirmed
The number of death toll of covid19 in Moldova is less than the number of confirmed in Canada .,total_deaths-total_confirmed
 fewer death toll of corona virus in World in March than in April.,total_deaths
Uzbekistan has lower cases of corona virus than Thailand in April.,total_confirmed
There are fewer cases of virus in Iran in February than March.,total_confirmed
Ukraine has less new recovered people than Burkina Faso in March.,new_recovered
Nepal has fewer healed cases of coronavirus than in Paraguay .,total_recovered
"In Singapore, the deceased of corona is less than the recovered and February.",total_deaths-total_recovered
Namibia has fewer deaths cases of covid-19 than in Guyana .,total_deaths
The death toll of covid19 in Moldova is less than the in France .,total_deaths-total_confirmed
Uzbekistan has fewer new confirmed cases of virus than New Zealand in February.,new_confirmed
The deceased toll of corona virus in Serbia is less than the healed in Russia in February.,total_deaths-total_recovered
Antigua and Barbuda has less new cases of covid-19 than in Croatia in March.,new_confirmed
 less healed cases of coronavirus in World in February than in March.,total_recovered
The number of deaths in Jamaica is less than the number of recovered in Albania .,total_deaths-total_recovered
Ethiopia has lower total cases than Armenia in March.,total_confirmed
Trinidad and Tobago has less total confirmed people than Brunei in March.,total_confirmed
The deceased cases of corona in Austria is less than the healed in France in March.,total_deaths-total_recovered
Maldives has fewer deceased of coronavirus than Pakistan in March.,total_deaths
The number of deceased of virus in Cote d'Ivoire is less than the number of recovered in Vietnam in April.,total_deaths-total_recovered
The deaths of covid19 in Diamond Princess is less than the in Cameroon .,total_deaths-total_confirmed
Slovakia has less deceased of virus than in Cote d'Ivoire in March.,total_deaths
The deceased of covid-19 in Sweden is less than the recovered in Belgium in March.,total_deaths-total_recovered
"In February,  lower deceased cases of coronavirus than in March.",total_deaths
The number of deaths people in Malta is less than the number of in Antigua and Barbuda in March.,total_deaths-total_confirmed
 less deaths of coronavirus in World in January than in February.,total_deaths
San Marino has fewer deceased cases of covid19 than Philippines in March.,total_deaths
The number of deceased in Poland is less than the number of confirmed in Moldova in April.,total_deaths-total_confirmed
Namibia has lower deaths cases of coronavirus than Guyana .,total_deaths
The deceased of corona in Oman is less than the confirmed in Nepal .,total_deaths-total_confirmed
 fewer deaths toll of corona in World in February than in April.,total_deaths
Dominican Republic has less cases of covid-19 than Indonesia .,total_confirmed
Oman has lower confirmed cases of covid-19 than in Austria .,total_confirmed
"Equatorial Guinea has lower new deceased people than in Korea, South in March.",new_deaths
Cambodia has less deaths than in Russia in March.,total_deaths
The number of deceased of covid19 in Colombia is less than the number of confirmed in USA in January.,total_deaths-total_confirmed
 fewer total confirmed cases of covid-19 in January than February.,total_confirmed
Argentina has fewer deceased of covid19 than Britiain in March.,total_deaths
 fewer deceased toll of covid19 in Nigeria in February than in April.,total_deaths
Croatia has fewer total deaths toll of covid19 than Italy in April.,total_deaths
Kenya has lower total deaths of covid19 than Britiain .,total_deaths
The deceased toll of covid19 in Jordan is less than the in Central African Republic in April.,total_deaths-total_confirmed
Taiwan* has less new deceased people than France in March.,new_deaths
Saint Vincent and the Grenadines has lower deaths people than Ireland in March.,total_deaths
Paraguay has fewer new death toll of covid-19 than in Denmark .,new_deaths
Jamaica has lower deceased of virus than in Kazakhstan .,total_deaths
The healed cases of corona virus in World is less than the confirmed and February.,total_recovered-total_confirmed
There are lower recovered cases of covid-19 in January than in March.,total_recovered
Eswatini has fewer deaths toll of corona than Japan .,total_deaths
 less total deceased of covid19 in Latvia in March than in April.,total_deaths
The number of deaths cases of corona virus in Guinea is less than the number of recovered in Italy in March.,total_deaths-total_recovered
The number of deaths of covid-19 in Cote d'Ivoire is less than the number of confirmed in Romania in February.,total_deaths-total_confirmed
There are less cases of covid-19 in Kazakhstan in January than in April.,total_confirmed
Saint Vincent and the Grenadines has fewer deaths of coronavirus than United States in March.,total_deaths
"In March,  fewer total recovered cases of corona virus than in April.",total_recovered
The deceased of covid19 in Qatar is less than the in Benin in March.,total_deaths-total_confirmed
The number of deceased toll of coronavirus in Eswatini is less than the number of recovered in Ethiopia .,total_deaths-total_recovered
Israel has lower total deaths than Egypt in April.,total_deaths
There are lower total deceased toll of coronavirus in January than in March.,total_deaths
"Korea, South has lower new confirmed cases of corona than in Iraq .",new_confirmed
The deaths toll of virus in Taiwan* is less than the confirmed in Finland .,total_deaths-total_confirmed
Andorra has less new recovered cases of corona virus than Finland in April.,new_recovered
The deceased of covid19 in Denmark is less than the in Qatar in February.,total_deaths-total_confirmed
The number of cases of corona virus in Honduras is less than the number of deaths in USA .,total_confirmed-total_deaths
There are less new deaths of virus in January than March.,new_deaths
Jordan has fewer new deaths than Netherlands in March.,new_deaths
Argentina has fewer deceased cases of corona than Britiain in March.,total_deaths
Monaco has less deaths cases of virus than in Qatar .,total_deaths
 fewer new confirmed cases of covid-19 in January than in February.,new_confirmed
Belarus has less confirmed cases of coronavirus than Russia in February.,total_confirmed
Russia has fewer people than USA in February.,total_confirmed
The confirmed cases of corona in Dominican Republic is less than the deceased in Diamond Princess in February.,total_confirmed-total_deaths
Guyana has less total recovered people than in Somalia .,total_recovered
Rwanda has less total healed cases of virus than in San Marino in March.,total_recovered
Senegal has fewer new deaths toll of coronavirus than Australia .,new_deaths
"Monaco has fewer new cases than Korea, South in February.",new_confirmed
The number of deceased toll of covid-19 in Brunei is less than the number of in Dominican Republic in April.,total_deaths-total_confirmed
The number of deceased toll of corona virus in Cameroon is less than the number of confirmed in United Kingdom in March.,total_deaths-total_confirmed
The number of deceased toll of covid19 in Paraguay is less than the number of in Belgium .,total_deaths-total_confirmed
The number of recovered people in Trinidad and Tobago is less than the number of deaths in Germany .,total_recovered-total_deaths
Belarus has fewer total confirmed cases of corona virus than in Iraq in March.,total_confirmed
The deaths toll of virus in Congo (Brazzaville) is less than the healed in Cameroon in March.,total_deaths-total_recovered
 fewer total deceased of corona virus in World in January than February.,total_deaths
Norway has fewer new recovered cases of corona than Ireland .,new_recovered
Central African Republic has fewer new healed cases of virus than in China in February.,new_recovered
The number of deceased toll in Suriname is less than the number of healed in Mexico in March.,total_deaths-total_recovered
The deceased of covid19 in Honduras is less than the recovered in Taiwan* in March.,total_deaths-total_recovered
There are less confirmed cases of covid19 in World in March than in April.,total_confirmed
Chile has less new deceased of corona than Belgium in April.,new_deaths
There are less deceased toll in February than April.,total_deaths
The number of recovered cases of covid19 in Paraguay is less than the number of confirmed in Ecuador in April.,total_recovered-total_confirmed
Namibia has lower confirmed cases of covid-19 than in India in February.,total_confirmed
Somalia has less death toll of virus than Mexico in April.,total_deaths
There are lower new deceased cases of coronavirus in World in January than in February.,new_deaths
Cameroon has less cases of virus than in San Marino in February.,total_confirmed
Slovenia has fewer deaths of covid-19 than in Iraq .,total_deaths
Holy See has less healed cases of corona virus than in Dominican Republic in April.,total_recovered
Brunei has lower new deaths toll of coronavirus than Turkey in March.,new_deaths
Czechia has fewer death toll of covid19 than in Iran in February.,total_deaths
Romania has less new deceased toll of coronavirus than in Brazil in April.,new_deaths
Liechtenstein has lower new healed cases of coronavirus than Malta in April.,new_recovered
Trinidad and Tobago has fewer deceased toll of covid-19 than in Indonesia in April.,total_deaths
Nigeria has fewer total confirmed cases of covid-19 than United Arab Emirates in March.,total_confirmed
Togo has fewer total recovered cases than in Peru .,total_recovered
Bhutan has fewer total death toll of virus than in Britiain .,total_deaths
The deceased cases of corona in Costa Rica is less than the recovered in Bahrain in April.,total_deaths-total_recovered
Peru has less new cases of corona than Czechia in March.,new_confirmed
There are less deceased in World in March than in April.,total_deaths
Iceland has lower new recovered cases of coronavirus than Canada .,new_recovered
Diamond Princess has lower total confirmed cases of covid19 than in Kazakhstan in April.,total_confirmed
Diamond Princess has lower new confirmed cases of covid-19 than in Equatorial Guinea .,new_confirmed
"In February,  less cases of coronavirus than in March.",total_confirmed
Mauritania has less total deceased cases of corona virus than in USA .,total_deaths
Luxembourg has lower cases of coronavirus than Ecuador .,total_confirmed
The deceased toll of covid-19 is less than the .,total_deaths-total_confirmed
The number of deceased of coronavirus in Poland is less than the number of confirmed and March.,total_deaths-total_confirmed
The number of deceased of corona in Tanzania is less than the number of confirmed in Chile in March.,total_deaths-total_confirmed
Oman has less healed cases of covid-19 than in Qatar in March.,total_recovered
The recovered people in Tunisia is less than the in Czechia in March.,total_recovered-total_confirmed
Bangladesh has less total deaths than in Belgium in March.,total_deaths
Nigeria has less healed cases of virus than United Arab Emirates .,total_recovered
The number of deceased cases of coronavirus in Honduras is less than the number of confirmed in Lithuania .,total_deaths-total_confirmed
The number of healed cases of corona virus in Central African Republic is less than the number of in Guatemala .,total_recovered-total_confirmed
"In February, there are lower deceased toll of covid19 in Gabon than April.",total_deaths
Singapore has less new cases of covid19 than in Turkey .,new_confirmed
Antigua and Barbuda has fewer cases of corona virus than in Kuwait in April.,total_confirmed
The deaths cases in Cuba is less than the recovered in US in March.,total_deaths-total_recovered
Congo (Brazzaville) has fewer recovered cases of covid19 than in South Africa .,total_recovered
South Africa has fewer total healed cases of corona than China .,total_recovered
Liechtenstein has lower death toll of covid19 than in United Kingdom .,total_deaths
The number of deceased of covid-19 in Norway is less than the number of in Latvia in March.,total_deaths-total_confirmed
Namibia has less new deaths toll of coronavirus than Ukraine .,new_deaths
Maldives has lower deaths cases of coronavirus than Pakistan in March.,total_deaths
The deaths toll of virus in Taiwan* is less than the recovered in Senegal in March.,total_deaths-total_recovered
The deaths toll of virus in US is less than the healed in USA in March.,total_deaths-total_recovered
The number of deceased people in Slovakia is less than the number of confirmed in USA in January.,total_deaths-total_confirmed
The deceased toll of corona virus in Malaysia is less than the in Estonia in February.,total_deaths-total_confirmed
Taiwan* has lower new deceased toll of covid19 than Pakistan in March.,new_deaths
The recovered cases of corona in Equatorial Guinea is less than the deaths in Switzerland .,total_recovered-total_deaths
The number of death toll of covid19 in Guinea is less than the number of healed in Romania in April.,total_deaths-total_recovered
The deceased of coronavirus in Venezuela is less than the recovered in Iceland .,total_deaths-total_recovered
Romania has lower new deceased cases of corona virus than in Brazil in April.,new_deaths
The number of deceased cases of corona in Kazakhstan is less than the number of recovered in North Macedonia in March.,total_deaths-total_recovered
 lower new deceased toll in World in January than in March.,new_deaths
New Zealand has lower new healed cases of covid19 than in World .,new_recovered
Maldives has fewer total deceased toll of virus than Georgia .,total_deaths
Thailand has fewer new healed cases of coronavirus than Austria in April.,new_recovered
Norway has lower new recovered cases of corona virus than in Ireland .,new_recovered
Ireland has lower new confirmed cases of virus than Spain in February.,new_confirmed
Honduras has lower deceased of covid19 than Netherlands in April.,total_deaths
Guinea has fewer new confirmed cases of coronavirus than Lebanon in February.,new_confirmed
Maldives has fewer new confirmed cases of virus than Czechia .,new_confirmed
The number of death toll of corona virus in Slovakia is less than the number of confirmed in Equatorial Guinea in April.,total_deaths-total_confirmed
Cuba has lower confirmed cases of covid19 than Switzerland .,total_confirmed
Cuba has lower total healed cases of corona than in Australia in January.,total_recovered
Bangladesh has fewer total death toll of corona virus than Argentina in April.,total_deaths
"In March,  lower total confirmed cases of virus in Venezuela than in April.",total_confirmed
"In January,  fewer new deaths toll of coronavirus than in April.",new_deaths
Sri Lanka has fewer total confirmed people than US in March.,total_confirmed
The deaths cases of covid19 in Bhutan is less than the healed in Italy .,total_deaths-total_recovered
Bulgaria has lower healed cases of covid-19 than India in March.,total_recovered
"In January,  less new death toll of virus in World than in March.",new_deaths
New Zealand has lower deaths of coronavirus than Britiain in April.,total_deaths
"In March,  lower deaths cases in World than in April.",total_deaths
The deaths cases in Maldives is less than the healed in Guyana in April.,total_deaths-total_recovered
The number of deaths of corona in Kenya is less than the number of recovered in Hungary .,total_deaths-total_recovered
Czechia has fewer deaths toll of corona virus than in Egypt in March.,total_deaths
Equatorial Guinea has lower new deceased cases of virus than in Japan in March.,new_deaths
Nigeria has less new deaths of corona than in Ecuador in April.,new_deaths
Germany has less total deaths cases of virus than in Britiain .,total_deaths
Albania has less total deaths of virus than Romania in March.,total_deaths
 lower new death toll of covid-19 in World in March than April.,new_deaths
Venezuela has fewer cases of corona than France .,total_confirmed
 less cases of covid-19 in February than in April.,total_confirmed
The number of death toll of corona in Cote d'Ivoire is less than the number of healed in Poland .,total_deaths-total_recovered
 lower new deceased cases of corona virus in March than in April.,new_deaths
Kuwait has less recovered cases of covid-19 than Japan in January.,total_recovered
"In March, there are less total death toll of covid-19 in Cyprus than in April.",total_deaths
Malaysia has lower deaths toll of covid19 than in China in March.,total_deaths
The number of healed cases of corona in Norway is less than the number of in Luxembourg in March.,total_recovered-total_confirmed
", the deaths people is less than the confirmed and April.",total_deaths-total_confirmed
Guinea has fewer healed cases of corona than Kuwait .,total_recovered
Somalia has lower total confirmed cases of corona virus than Latvia in April.,total_confirmed
Chile has less deaths cases of coronavirus than Bosnia and Herzegovina in March.,total_deaths
Bahrain has less confirmed people than Canada .,total_confirmed
"In February, there are less deaths toll than March.",total_deaths
Mauritania has less total deaths toll than in Japan in February.,total_deaths
The number of deaths toll of virus in Norway is less than the number of in Vietnam in April.,total_deaths-total_confirmed
Holy See has less new deceased of coronavirus than Jordan .,new_deaths
The number of deceased people in Afghanistan is less than the number of healed in Brunei .,total_deaths-total_recovered
Guinea has fewer total deaths of virus than in Estonia .,total_deaths
The number of death toll of corona in Cameroon is less than the number of confirmed in United Kingdom in March.,total_deaths-total_confirmed
Mongolia has fewer deaths people than in Congo (Kinshasa) in March.,total_deaths
Netherlands has less total confirmed cases of corona virus than USA .,total_confirmed
"In February,  lower deceased of virus than March.",total_deaths
South Korea has fewer total deaths cases of corona virus than World in March.,total_deaths
 less confirmed cases of coronavirus in January than February.,total_confirmed
There are fewer new healed cases of covid-19 in World in February than April.,new_recovered
Estonia has less deceased toll of coronavirus than Ghana in March.,total_deaths
Indonesia has less cases than Russia .,total_confirmed
Lebanon has fewer total cases of covid19 than Belgium .,total_confirmed
 less total healed people in World in March than in April.,total_recovered
Ukraine has less total deaths of corona than in Australia in March.,total_deaths
Saint Lucia has lower new deaths than Japan in April.,new_deaths
Guyana has fewer death toll of corona virus than France .,total_deaths
Iceland has less total deaths cases of coronavirus than in Hungary in March.,total_deaths
Uruguay has less total deaths toll of corona virus than Czechia in April.,total_deaths
Monaco has lower confirmed cases of covid-19 than New Zealand in March.,total_confirmed
Croatia has less death toll of virus than in Russia in March.,total_deaths
Sri Lanka has fewer new healed people than in Taiwan* in March.,new_recovered
Taiwan* has lower death toll of virus than Kenya .,total_deaths
The deceased in Burkina Faso is less than the healed in Australia in January.,total_deaths-total_recovered
Portugal has fewer new cases than Sweden in January.,new_confirmed
"In March,  fewer deceased of covid-19 in Israel than in April.",total_deaths
Congo (Kinshasa) has less new deceased toll than Iran in February.,new_deaths
Monaco has lower healed cases of virus than in US in February.,total_recovered
Guyana has lower new deceased of corona than Italy in April.,new_deaths
 fewer healed cases of virus in Vietnam in January than March.,total_recovered
Ukraine has lower total healed cases of covid-19 than in Senegal in March.,total_recovered
Bangladesh has fewer total deceased toll than Argentina in April.,total_deaths
Lithuania has lower new deaths people than Chile .,new_deaths
The number of deceased toll of corona in Dominican Republic is less than the number of confirmed in Taiwan* in April.,total_deaths-total_confirmed
"In February, there are fewer deceased cases of virus than March.",total_deaths
Cote d'Ivoire has lower total deceased toll of covid19 than Serbia in April.,total_deaths
", the death toll is less than the healed .",total_deaths-total_recovered
The number of cases of corona virus in China is less than the number of recovered in United States .,total_confirmed-total_recovered
The confirmed cases of covid19 in Tunisia is less than the deceased in USA in April.,total_confirmed-total_deaths
"The deceased toll in Korea, South is less than the confirmed in Belgium .",total_deaths-total_confirmed
The deceased cases of coronavirus in Senegal is less than the confirmed in Ukraine in April.,total_deaths-total_confirmed
"In Sudan, the number of deceased cases of covid-19 is less than the number of confirmed and March.",total_deaths-total_confirmed
Russia has less total deaths cases of covid19 than World .,total_deaths
Vietnam has fewer deceased of virus than Bulgaria .,total_deaths
Gabon has less new cases of virus than in North Macedonia in February.,new_confirmed
Georgia has fewer total deceased toll of virus than Ireland in March.,total_deaths
"In February, there are lower total confirmed people in Uruguay than in April.",total_confirmed
Kenya has fewer total deceased toll of coronavirus than in Britiain .,total_deaths
"In March,  lower cases of coronavirus than in April.",total_confirmed
"In February, there are fewer deaths than in March.",total_deaths
"In January, there are fewer new death toll of corona virus in World than in April.",new_deaths
"In February, there are less deceased of covid19 in Peru than March.",total_deaths
The recovered cases of corona virus in Uruguay is less than the in Trinidad and Tobago in March.,total_recovered-total_confirmed
The deaths toll of coronavirus in Ghana is less than the recovered in Romania .,total_deaths-total_recovered
", the deceased toll of covid19 is less than the confirmed and March.",total_deaths-total_confirmed
The deaths toll of corona virus in Cote d'Ivoire is less than the confirmed in Britiain in April.,total_deaths-total_confirmed
Cote d'Ivoire has lower new recovered cases of coronavirus than Pakistan in April.,new_recovered
The number of deceased of corona in Malaysia is less than the number of confirmed in Liberia in April.,total_deaths-total_confirmed
The deceased toll of virus in Qatar is less than the confirmed in New Zealand in March.,total_deaths-total_confirmed
The deceased cases of coronavirus in Iceland is less than the healed in Bulgaria in April.,total_deaths-total_recovered
Seychelles has less new deceased cases of corona than in Senegal .,new_deaths
There are fewer deaths cases of corona in January than April.,total_deaths
"In January, there are fewer deaths cases of coronavirus in World than in March.",total_deaths
The death toll of corona virus in Mongolia is less than the recovered in Netherlands in March.,total_deaths-total_recovered
 lower new deceased toll of virus in March than in April.,new_deaths
Qatar has less deceased toll than France in February.,total_deaths
The deaths cases of covid-19 in South Korea is less than the confirmed in Ecuador in April.,total_deaths-total_confirmed
The number of deaths people in Singapore is less than the number of in Jordan .,total_deaths-total_confirmed
Russia has fewer new people than in Australia in March.,new_confirmed
The number of healed cases of coronavirus in Estonia is less than the number of deceased in Germany .,total_recovered-total_deaths
Guinea has fewer healed cases of covid19 than in Albania in April.,total_recovered
The number of deaths toll of covid19 in Indonesia is less than the number of confirmed in Canada in February.,total_deaths-total_confirmed
Mauritania has lower new deaths toll of virus than in Spain in April.,new_deaths
Antigua and Barbuda has fewer new cases of coronavirus than Croatia in March.,new_confirmed
The number of deaths of virus in Oman is less than the number of healed in South Korea in February.,total_deaths-total_recovered
Albania has lower total people than in Latvia .,total_confirmed
The healed people in Liechtenstein is less than the deceased in Moldova in March.,total_recovered-total_deaths
Trinidad and Tobago has fewer new deaths people than in UK in March.,new_deaths
The deceased cases of covid19 in Serbia is less than the confirmed in Sweden in February.,total_deaths-total_confirmed
The number of deaths toll of corona in USA is less than the number of confirmed in United Arab Emirates in January.,total_deaths-total_confirmed
"In January,  lower total recovered cases of covid19 in World than April.",total_recovered
"In January, there are lower total people than April.",total_confirmed
Bolivia has fewer deceased people than in Honduras .,total_deaths
Serbia has less new recovered cases of covid-19 than in Thailand in March.,new_recovered
Australia has less total deaths people than Serbia in April.,total_deaths
The deceased toll of coronavirus in Algeria is less than the confirmed in Uzbekistan in April.,total_deaths-total_confirmed
The number of deceased cases of corona virus in Kenya is less than the number of in Ukraine in March.,total_deaths-total_confirmed
"In January,  fewer new death toll of covid19 in World than February.",new_deaths
The deceased of covid19 in Azerbaijan is less than the recovered in Philippines in March.,total_deaths-total_recovered
The number of deceased toll of virus in Togo is less than the number of in Australia in April.,total_deaths-total_confirmed
Antigua and Barbuda has lower cases of covid-19 than Jamaica in April.,total_confirmed
There are lower total recovered cases of covid19 in World in January than in February.,total_recovered
"In World, the number of deaths toll of coronavirus is less than the number of healed and April.",total_deaths-total_recovered
Mauritania has lower total recovered cases of covid19 than Costa Rica in April.,total_recovered
"San Marino has fewer deceased cases of covid19 than Korea, South in April.",total_deaths
Paraguay has fewer new healed cases of corona than in Britiain in April.,new_recovered
Australia has less new deceased cases of corona than in United Kingdom in March.,new_deaths
Namibia has lower total deceased toll of coronavirus than in Congo (Kinshasa) in April.,total_deaths
The death toll in Diamond Princess is less than the in Somalia .,total_deaths-total_confirmed
Jamaica has fewer new deceased toll of corona virus than in United Arab Emirates in March.,new_deaths
The number of deaths cases of covid19 in Panama is less than the number of confirmed in UK in January.,total_deaths-total_confirmed
Cambodia has lower total cases of corona virus than Iraq in February.,total_confirmed
Nigeria has less new deceased toll of virus than Ecuador in April.,new_deaths
Georgia has fewer total deceased than Ireland in March.,total_deaths
Georgia has less healed cases of covid-19 than Britiain in April.,total_recovered
The deaths of virus in Guyana is less than the confirmed in Ghana .,total_deaths-total_confirmed
The number of death toll of covid-19 in Togo is less than the number of confirmed in Liberia in March.,total_deaths-total_confirmed
The deceased cases of covid-19 in Belarus is less than the recovered in Latvia .,total_deaths-total_recovered
Mexico has lower healed cases of covid-19 than Malaysia in February.,total_recovered
"In January, there are lower new deaths of corona virus in World than in April.",new_deaths
"In Maldives, the number of death toll of coronavirus is less than the number of healed and March.",total_deaths-total_recovered
Singapore has fewer deceased cases of covid19 than Belgium .,total_deaths
San Marino has fewer total cases of coronavirus than in Saudi Arabia in April.,total_confirmed
Namibia has fewer new healed cases of coronavirus than in Diamond Princess in April.,new_recovered
Poland has fewer new deaths toll of covid19 than United States in April.,new_deaths
Costa Rica has lower total deaths of covid19 than France in February.,total_deaths
The deaths cases of corona in Poland is less than the confirmed in Moldova in April.,total_deaths-total_confirmed
The people in Gabon is less than the recovered in Poland .,total_confirmed-total_recovered
Rwanda has fewer new deaths cases of covid19 than in Philippines in March.,new_deaths
The number of deaths cases in Mexico is less than the number of healed in Brazil in April.,total_deaths-total_recovered
Saudi Arabia has fewer new deceased toll of coronavirus than United States .,new_deaths
Iceland has lower new recovered cases of virus than Canada .,new_recovered
"In February, there are lower total healed cases of covid19 in World than April.",total_recovered
"In February,  lower new confirmed cases of covid-19 than April.",new_confirmed
The number of deaths cases of covid19 in Brunei is less than the number of recovered and April.,total_deaths-total_recovered
Luxembourg has lower cases of covid-19 than Malaysia in April.,total_confirmed
The healed cases of coronavirus in Rwanda is less than the deaths in Indonesia in April.,total_recovered-total_deaths
Morocco has fewer recovered cases of covid-19 than Spain .,total_recovered
Lebanon has lower new healed people than in Japan .,new_recovered
The number of death toll of coronavirus in Afghanistan is less than the number of healed in Brunei .,total_deaths-total_recovered
Maldives has lower deaths of covid-19 than Pakistan in March.,total_deaths
Ukraine has less total deceased of covid-19 than Australia in March.,total_deaths
Holy See has less new death toll than Congo (Kinshasa) .,new_deaths
"In February,  fewer new deceased cases of covid-19 in World than April.",new_deaths
Honduras has lower new deaths toll of corona than Philippines in April.,new_deaths
The death toll of covid19 in Costa Rica is less than the recovered in United Kingdom in April.,total_deaths-total_recovered
Kenya has less healed cases of corona virus than Azerbaijan .,total_recovered
"The confirmed cases in Tanzania is less than the healed in Korea, South in March.",total_confirmed-total_recovered
 fewer new deaths toll of covid-19 in January than in February.,new_deaths
Latvia has less total deaths cases of covid19 than Sweden in April.,total_deaths
There are less healed cases of corona virus in Ghana in February than March.,total_recovered
There are lower new deaths cases of virus in Belarus in January than in April.,new_deaths
Georgia has lower total healed people than Oman .,total_recovered
The number of deceased is less than the number of confirmed .,total_deaths-total_confirmed
The deceased of virus in Portugal is less than the healed in Japan in April.,total_deaths-total_recovered
Cambodia has fewer deaths of covid19 than in San Marino in April.,total_deaths
There are lower total deceased of corona virus in Israel in March than in April.,total_deaths
"In World, the number of deaths of coronavirus is less than the number of healed and February.",total_deaths-total_recovered
Rwanda has less total healed cases than San Marino in March.,total_recovered
San Marino has less total deceased toll of covid-19 than in Mexico in April.,total_deaths
Benin has less deaths of corona than in Senegal .,total_deaths
Honduras has lower total confirmed cases of corona virus than in Kuwait in February.,total_confirmed
Honduras has lower deceased of coronavirus than Iraq .,total_deaths
Tanzania has less new deceased cases of corona virus than in China in March.,new_deaths
"The deaths of coronavirus in Cote d'Ivoire is less than the in Korea, South in April.",total_deaths-total_confirmed
There are lower new deceased toll of corona virus in World in February than March.,new_deaths
The number of deceased of corona virus in Vietnam is less than the number of confirmed in Maldives in March.,total_deaths-total_confirmed
The cases of corona virus in Sudan is less than the healed in Cameroon .,total_confirmed-total_recovered
"In January, there are less total deceased toll of virus in World than March.",total_deaths
The deceased toll of corona virus in Oman is less than the recovered and April.,total_deaths-total_recovered
The number of deceased toll of virus in Serbia is less than the number of healed in Italy in February.,total_deaths-total_recovered
The recovered cases of virus in Kenya is less than the in Oman in February.,total_recovered-total_confirmed
